job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier
AIJOB0015,AI Agent Developer,AI Engineering,Senior,3,Bachelor's,209000.0,155000,290000,Dubai,UAE,Hybrid,Startup (1-50),Consulting,python | api | langchain | tool use | autogen | communication | statistics | problem solving,10.6,96,50.7,9.4,2026,1,1,1,1,Senior ($200-300k)
AIJOB0016,AI Agent Developer,AI Engineering,Entry,3,Bachelor's,155000.0,155000,290000,Amsterdam,Netherlands,Fully Remote,Mid-size (501-5000),Research,langchain | tool use | planning systems | autogen | python | git,13.5,96,75.9,8.2,2025,3,0,1,1,Upper-Mid ($150-200k)
AIJOB0017,ML Engineer,AI Engineering,Entry,6,PhD,120000.0,120000,280000,Paris,France,Fully Remote,Mid-size (501-5000),Healthcare,tensorflow | kubernetes | machine learning operations | linux | communication | problem solving,8.2,97,68.8,7.3,2026,3,0,1,0,Mid ($100-150k)
AIJOB0018,Generative AI Engineer,AI Engineering,Mid,2,Bachelor's,162000.0,150000,295000,London,UK,On-site,Mid-size (501-5000),Consulting,generative ai api | deployment | diffusion models | large language models | fine-tuning | python | sql,11.3,95,78.1,9.7,2025,11,0,0,1,Upper-Mid ($150-200k)
AIJOB0019,AI Security Engineer,Security,Senior,7,Bachelor's,228000.0,140000,260000,Sydney,Australia,Hybrid,Big Tech (FAANG+),Government,risk analysis | python | cybersecurity | problem solving,15.9,80,15.9,9.7,2025,10,1,1,0,Senior ($200-300k)
AIJOB0020,Deep Learning Engineer,AI Engineering,Senior,6,Bachelor's,185000.0,141000,270000,Berlin,Germany,Hybrid,Startup (1-50),Consulting,neural networks | python | tensorflow | cuda | pytorch | git | agile | leadership,5.8,89,12.4,6.5,2026,2,1,1,0,Upper-Mid ($150-200k)
AIJOB0021,Multimodal AI Engineer,AI Engineering,Senior,3,Bootcamp/Self-taught,329000.0,160000,300000,Chicago,USA,On-site,Big Tech (FAANG+),Consulting,pytorch | vision-language models | api | fine-tuning | research | problem solving,12.7,90,27.5,9.0,2025,2,1,0,0,Elite (>$300k)
AIJOB0022,MLOps Engineer,ML Operations,Senior,9,Bachelor's,272000.0,130000,260000,Dubai,UAE,On-site,Big Tech (FAANG+),Technology,monitoring | docker | kubernetes | mlflow | sql,12.8,93,77.0,6.3,2026,3,1,0,0,Senior ($200-300k)
AIJOB0023,AI Business Analyst,Business,Senior,7,Bootcamp/Self-taught,201000.0,95000,180000,Los Angeles,USA,On-site,Enterprise (5000+),Media,sql | communication | python | data visualization | business analysis | leadership | research,16.5,78,16.4,9.0,2026,3,1,0,0,Senior ($200-300k)
AIJOB0024,RAG Engineer,AI Engineering,Senior,3,Associate's,230000.0,145000,280000,Toronto,Canada,Fully Remote,Enterprise (5000+),Finance,embeddings | large language models | vector databases | search systems | langchain | python | communication | agile | research,4.6,94,39.5,9.4,2025,3,1,1,1,Senior ($200-300k)
AIJOB0025,NLP Engineer,AI Engineering,Mid,8,Bachelor's,145000.0,145000,290000,Sydney,Australia,Hybrid,SME (51-500),Manufacturing,large language models | python | transformers | text processing | bert | hugging face | cloud | research | sql,5.7,91,80.1,9.2,2026,3,0,1,0,Mid ($100-150k)
AIJOB0026,Robotics Engineer (AI),Robotics,Senior,10,Master's,125000.0,125000,240000,Beijing,China,Hybrid,SME (51-500),Energy,computer vision | c++ | simulation | linux | research | problem solving,17.1,76,19.8,8.5,2025,7,1,1,0,Mid ($100-150k)
AIJOB0027,Senior Data Scientist,Data Science,Entry,8,PhD,157000.0,157000,218000,Zurich,Switzerland,Fully Remote,SME (51-500),Technology,causal inference | leadership | machine learning | advanced statistics | deep learning | python | research,3.4,90,28.8,6.9,2025,11,0,1,0,Upper-Mid ($150-200k)
AIJOB0028,ML Engineer,AI Engineering,Mid,6,Bachelor's,224000.0,120000,280000,San Francisco,USA,Hybrid,SME (51-500),Energy,machine learning operations | python | pytorch | sql | agile | statistics | linux,15.5,97,23.4,9.1,2026,1,0,1,0,Senior ($200-300k)
AIJOB0029,AI Business Analyst,Business,Senior,3,Bootcamp/Self-taught,216000.0,95000,180000,San Francisco,USA,Hybrid,Mid-size (501-5000),Manufacturing,communication | python | sql | agile | git,14.6,78,6.7,8.5,2025,7,1,1,0,Senior ($200-300k)
AIJOB0030,AI Ethics Officer,Governance,Senior,10,Bootcamp/Self-taught,208000.0,110000,210000,Boston,USA,Hybrid,Enterprise (5000+),Research,research | ethics frameworks | communication | problem solving | cloud,11.2,72,11.1,9.6,2025,8,1,1,0,Senior ($200-300k)
AIJOB0031,NLP Engineer,AI Engineering,Senior,8,PhD,348000.0,145000,290000,Zurich,Switzerland,On-site,Big Tech (FAANG+),Media,large language models | transformers | bert | hugging face | agile | problem solving,9.6,91,21.2,8.7,2026,1,1,0,0,Elite (>$300k)
AIJOB0032,AI Infrastructure Eng,Infrastructure,Senior,4,Bachelor's,285000.0,140000,270000,Remote,Global,Hybrid,Enterprise (5000+),Research,networking | kubernetes | cuda | distributed systems | storage | cloud | leadership | statistics,11.5,85,16.3,7.2,2025,12,1,1,0,Senior ($200-300k)
AIJOB0033,Deep Learning Engineer,AI Engineering,Mid,10,Master's,141000.0,141000,270000,Toronto,Canada,Hybrid,Startup (1-50),Healthcare,cuda | gpu computing | tensorflow | python | neural networks | communication | statistics,8.0,89,8.2,6.2,2025,5,0,1,0,Mid ($100-150k)
AIJOB0034,AI Infrastructure Eng,Infrastructure,Entry,6,Bachelor's,160000.0,140000,270000,Austin,USA,Hybrid,Enterprise (5000+),Government,distributed systems | cuda | kubernetes | cloud | networking | storage | git,13.8,85,22.2,6.6,2026,2,0,1,0,Upper-Mid ($150-200k)
AIJOB0035,Senior ML Engineer,AI Engineering,Senior,8,Associate's,223000.0,180000,312000,London,UK,Hybrid,Startup (1-50),Automotive,machine learning operations | distributed systems | system design | llm fine-tuning | pytorch | python | problem solving | sql | git,10.6,96,20.9,6.9,2026,1,1,1,0,Senior ($200-300k)
AIJOB0036,AI Engineer,AI Engineering,Senior,4,PhD,221000.0,100000,250000,Amsterdam,Netherlands,Hybrid,Enterprise (5000+),Finance,cloud (aws/gcp/azure) | pytorch | python | docker | llm integration | problem solving | communication | cloud,14.5,95,81.3,9.1,2025,3,1,1,0,Senior ($200-300k)
AIJOB0037,MLOps Engineer,ML Operations,Senior,8,Bootcamp/Self-taught,130000.0,130000,260000,Beijing,China,Fully Remote,Big Tech (FAANG+),Technology,monitoring | ci/cd | docker | cloud | kubernetes | problem solving,15.3,93,59.1,6.1,2025,11,1,1,0,Mid ($100-150k)
AIJOB0038,AI Business Analyst,Business,Senior,8,Associate's,95000.0,95000,180000,Bangalore,India,Hybrid,Startup (1-50),Government,data visualization | communication | python | problem solving,12.9,78,7.3,7.3,2025,11,1,1,0,Entry (<$100k)
AIJOB0039,Data Scientist,Data Science,Senior,5,Bootcamp/Self-taught,198000.0,138000,195000,Chicago,USA,Fully Remote,Mid-size (501-5000),Government,scikit-learn | python | sql | statistics | git,8.8,92,15.1,9.3,2026,1,1,1,0,Upper-Mid ($150-200k)
AIJOB0040,Deep Learning Engineer,AI Engineering,Senior,6,Bootcamp/Self-taught,238000.0,141000,270000,Dubai,UAE,Hybrid,Mid-size (501-5000),Consulting,gpu computing | pytorch | tensorflow | cuda | neural networks | sql,4.7,89,9.0,8.1,2026,1,1,1,0,Senior ($200-300k)
AIJOB0041,NLP Engineer,AI Engineering,Entry,7,Master's,192000.0,145000,290000,Boston,USA,Hybrid,Enterprise (5000+),Energy,large language models | text processing | hugging face | python | transformers | linux | cloud | communication,9.2,91,78.1,7.0,2026,2,0,1,0,Upper-Mid ($150-200k)
AIJOB0042,AI Product Manager,Product,Entry,10,PhD,149000.0,140000,260000,Dubai,UAE,Hybrid,Mid-size (501-5000),Media,data analysis | agile | product strategy | ai literacy | stakeholder management | statistics | leadership,17.3,85,26.7,9.7,2025,7,0,1,0,Mid ($100-150k)
AIJOB0043,NLP Engineer,AI Engineering,Senior,9,Bootcamp/Self-taught,164000.0,145000,290000,Amsterdam,Netherlands,Hybrid,Startup (1-50),Finance,text processing | transformers | large language models | python | bert | hugging face | research,6.2,91,67.7,7.6,2026,1,1,1,0,Upper-Mid ($150-200k)
AIJOB0044,Senior ML Engineer,AI Engineering,Senior,6,Associate's,272000.0,180000,312000,Remote,Global,Hybrid,Mid-size (501-5000),Consulting,distributed systems | llm fine-tuning | machine learning operations | pytorch | system design | sql | git | communication,10.9,96,31.6,6.3,2026,3,1,1,0,Senior ($200-300k)
AIJOB0045,AI Infrastructure Eng,Infrastructure,Mid,3,PhD,275000.0,140000,270000,Boston,USA,Hybrid,Enterprise (5000+),Media,cloud | cuda | storage | kubernetes | distributed systems | communication,14.8,85,9.5,6.7,2026,2,0,1,0,Senior ($200-300k)
AIJOB0046,RAG Engineer,AI Engineering,Mid,4,Master's,189000.0,145000,280000,London,UK,Fully Remote,Enterprise (5000+),Consulting,large language models | python | embeddings | vector databases | search systems | langchain | statistics | agile,7.8,94,48.3,7.1,2026,2,0,1,1,Upper-Mid ($150-200k)
AIJOB0047,Data Scientist,Data Science,Senior,7,Associate's,146000.0,138000,195000,London,UK,Fully Remote,Enterprise (5000+),Energy,python | scikit-learn | sql | ml algorithms | data visualization | research | agile | communication,4.5,92,28.9,7.0,2026,3,1,1,0,Mid ($100-150k)
AIJOB0048,Multimodal AI Engineer,AI Engineering,Entry,3,PhD,180000.0,160000,300000,Austin,USA,Fully Remote,Startup (1-50),Healthcare,pytorch | vision-language models | python | api | fine-tuning | cloud | linux | communication,16.8,90,14.1,7.9,2025,3,0,1,0,Upper-Mid ($150-200k)
AIJOB0049,Computer Vision Engineer,AI Engineering,Senior,4,Bachelor's,234000.0,145000,280000,Remote,Global,On-site,Mid-size (501-5000),Media,opencv | cnns | pytorch | python | sql | agile,5.6,87,23.7,7.0,2025,11,1,0,0,Senior ($200-300k)
AIJOB0050,Data Engineer (AI),Data Engineering,Senior,6,Bachelor's,240000.0,130000,220000,Boston,USA,On-site,SME (51-500),Healthcare,dbt | spark | python | airflow | sql | cloud | git,8.4,88,29.9,6.4,2025,9,1,0,0,Senior ($200-300k)
AIJOB0051,Senior Data Scientist,Data Science,Senior,7,Associate's,169000.0,157000,218000,Sydney,Australia,Hybrid,Enterprise (5000+),Automotive,leadership | python | machine learning | causal inference | advanced statistics | deep learning | statistics,9.7,90,26.4,6.4,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB0052,AI Agent Developer,AI Engineering,Senior,2,PhD,257000.0,155000,290000,Singapore,Singapore,On-site,Startup (1-50),Automotive,python | langchain | api | tool use | planning systems | autogen | problem solving,15.7,96,30.1,6.8,2026,2,1,0,1,Senior ($200-300k)
AIJOB0053,AI Compliance Manager,Governance,Entry,5,PhD,188000.0,100000,200000,Austin,USA,On-site,Big Tech (FAANG+),Healthcare,auditing | documentation | eu ai act | sql,15.9,68,10.9,7.2,2025,1,0,0,0,Upper-Mid ($150-200k)
AIJOB0054,Senior Data Scientist,Data Science,Entry,10,Bachelor's,157000.0,157000,218000,Amsterdam,Netherlands,Hybrid,Big Tech (FAANG+),Education,machine learning | deep learning | advanced statistics | sql | leadership | agile,3.2,90,30.0,9.2,2026,1,0,1,0,Upper-Mid ($150-200k)
AIJOB0055,AI Ethics Officer,Governance,Entry,5,PhD,110000.0,110000,210000,Zurich,Switzerland,Hybrid,Startup (1-50),Media,ethics frameworks | research | risk assessment | leadership | agile,9.0,72,22.5,9.2,2026,3,0,1,0,Mid ($100-150k)
AIJOB0056,Generative AI Engineer,AI Engineering,Senior,8,Master's,354000.0,150000,295000,Los Angeles,USA,Fully Remote,Enterprise (5000+),Consulting,diffusion models | deployment | python | generative ai api | fine-tuning | large language models | agile | statistics | linux,8.7,95,75.7,6.4,2025,12,1,1,1,Elite (>$300k)
AIJOB0057,Data Engineer (AI),Data Engineering,Entry,6,Associate's,160000.0,130000,220000,Austin,USA,Hybrid,Big Tech (FAANG+),Energy,feature stores | python | airflow | sql | dbt | agile,9.0,88,17.7,6.6,2026,1,0,1,0,Upper-Mid ($150-200k)
AIJOB0058,Data Engineer (AI),Data Engineering,Entry,8,PhD,130000.0,130000,220000,Tokyo,Japan,Fully Remote,Mid-size (501-5000),Retail,etl | dbt | feature stores | python | sql | spark | linux,11.1,88,13.5,6.0,2026,3,0,1,0,Mid ($100-150k)
AIJOB0059,Multimodal AI Engineer,AI Engineering,Mid,7,Bachelor's,160000.0,160000,300000,Sydney,Australia,Fully Remote,Startup (1-50),Retail,api | fine-tuning | vision-language models | linux | statistics,15.8,90,19.2,6.3,2025,3,0,1,0,Upper-Mid ($150-200k)
AIJOB0060,AI Compliance Manager,Governance,Entry,9,PhD,100000.0,100000,200000,Beijing,China,Hybrid,Startup (1-50),Finance,auditing | legal knowledge | risk management | documentation | leadership,9.1,68,22.0,8.3,2026,2,0,1,0,Entry (<$100k)
AIJOB0061,ML Engineer,AI Engineering,Entry,6,Bachelor's,120000.0,120000,280000,London,UK,Hybrid,Enterprise (5000+),Research,tensorflow | sql | kubernetes | python | research,9.3,97,53.9,6.9,2026,3,0,1,0,Mid ($100-150k)
AIJOB0062,Data Engineer (AI),Data Engineering,Entry,2,Bootcamp/Self-taught,130000.0,130000,220000,Seattle,USA,On-site,Enterprise (5000+),Government,dbt | airflow | etl | feature stores | sql | cloud | agile | git,11.2,88,25.0,8.3,2026,2,0,0,0,Mid ($100-150k)
AIJOB0063,Senior ML Engineer,AI Engineering,Mid,6,Bootcamp/Self-taught,180000.0,180000,312000,Amsterdam,Netherlands,Hybrid,Startup (1-50),Manufacturing,system design | distributed systems | pytorch | machine learning operations | python | llm fine-tuning | git | leadership | communication,17.6,96,62.1,6.6,2025,5,0,1,0,Upper-Mid ($150-200k)
AIJOB0064,Deep Learning Engineer,AI Engineering,Mid,10,Bachelor's,222000.0,141000,270000,Chicago,USA,Hybrid,Big Tech (FAANG+),Finance,gpu computing | cuda | neural networks | tensorflow | pytorch | python | research,7.4,89,24.9,8.2,2025,2,0,1,0,Senior ($200-300k)
AIJOB0065,MLOps Engineer,ML Operations,Entry,5,Bachelor's,131000.0,130000,260000,Zurich,Switzerland,Hybrid,Enterprise (5000+),Energy,monitoring | python | mlflow | leadership | cloud | research,15.9,93,80.4,7.7,2026,3,0,1,0,Mid ($100-150k)
AIJOB0066,Deep Learning Engineer,AI Engineering,Senior,3,Associate's,247000.0,141000,270000,Toronto,Canada,Hybrid,Big Tech (FAANG+),Education,python | tensorflow | cuda | gpu computing | neural networks | pytorch | research,7.3,89,14.1,9.5,2025,6,1,1,0,Senior ($200-300k)
AIJOB0067,Multimodal AI Engineer,AI Engineering,Senior,7,Bachelor's,160000.0,160000,300000,Beijing,China,On-site,Startup (1-50),Consulting,api | pytorch | vision-language models | python | fine-tuning | problem solving,11.5,90,29.2,8.7,2025,10,1,0,0,Upper-Mid ($150-200k)
AIJOB0068,AI Infrastructure Eng,Infrastructure,Senior,8,PhD,324000.0,140000,270000,Seattle,USA,On-site,Mid-size (501-5000),Retail,networking | distributed systems | cuda | statistics,10.1,85,28.7,7.8,2025,3,1,0,0,Elite (>$300k)
AIJOB0069,Senior Data Scientist,Data Science,Entry,5,Associate's,157000.0,157000,218000,Seattle,USA,Fully Remote,Mid-size (501-5000),Healthcare,deep learning | advanced statistics | machine learning | python | causal inference | problem solving,3.3,90,14.1,8.7,2026,3,0,1,0,Upper-Mid ($150-200k)
AIJOB0070,MLOps Engineer,ML Operations,Mid,9,PhD,191000.0,130000,260000,Zurich,Switzerland,Fully Remote,SME (51-500),Government,cloud | kubernetes | docker | ci/cd | monitoring | mlflow | leadership | problem solving,16.2,93,73.5,6.5,2025,11,0,1,0,Upper-Mid ($150-200k)
AIJOB0071,AI Ethics Officer,Governance,Entry,8,Associate's,126000.0,110000,210000,Singapore,Singapore,Fully Remote,Big Tech (FAANG+),Automotive,risk assessment | ethics frameworks | research | linux | cloud | git,16.8,72,28.3,7.6,2025,6,0,1,0,Mid ($100-150k)
AIJOB0072,NLP Engineer,AI Engineering,Senior,4,Master's,167000.0,145000,290000,Sydney,Australia,On-site,Startup (1-50),Energy,transformers | text processing | python | hugging face | bert | linux | research | leadership,3.6,91,33.7,9.2,2026,3,1,0,0,Upper-Mid ($150-200k)
AIJOB0073,RAG Engineer,AI Engineering,Entry,2,PhD,157000.0,145000,280000,Dubai,UAE,Hybrid,Enterprise (5000+),Education,vector databases | embeddings | search systems | git,3.1,94,52.6,6.9,2025,7,0,1,1,Upper-Mid ($150-200k)
AIJOB0074,AI Engineer,AI Engineering,Mid,7,Associate's,100000.0,100000,250000,Beijing,China,Hybrid,Mid-size (501-5000),Manufacturing,python | cloud (aws/gcp/azure) | docker | pytorch | llm integration | sql | cloud,8.2,95,72.6,7.3,2026,3,0,1,0,Entry (<$100k)
AIJOB0075,Data Scientist,Data Science,Mid,4,Bachelor's,138000.0,138000,195000,Bangalore,India,Fully Remote,Mid-size (501-5000),Finance,ml algorithms | scikit-learn | data visualization | sql | linux,9.6,92,17.7,6.8,2026,1,0,1,0,Mid ($100-150k)
AIJOB0076,AI Product Manager,Product,Senior,4,Associate's,258000.0,140000,260000,Paris,France,Fully Remote,Big Tech (FAANG+),Government,ai literacy | stakeholder management | data analysis | product strategy | agile | git | statistics,15.4,85,27.4,7.5,2026,2,1,1,0,Senior ($200-300k)
AIJOB0077,AI Infrastructure Eng,Infrastructure,Senior,3,Bachelor's,248000.0,140000,270000,Remote,Global,Hybrid,Mid-size (501-5000),Education,storage | kubernetes | cuda | networking | cloud | distributed systems | agile | problem solving,12.3,85,22.2,7.3,2025,6,1,1,0,Senior ($200-300k)
AIJOB0078,RAG Engineer,AI Engineering,Entry,5,Bachelor's,145000.0,145000,280000,Amsterdam,Netherlands,On-site,Mid-size (501-5000),Finance,search systems | vector databases | python | embeddings | langchain | linux,7.5,94,41.4,9.6,2025,3,0,0,1,Mid ($100-150k)
AIJOB0079,Multimodal AI Engineer,AI Engineering,Senior,7,Bootcamp/Self-taught,244000.0,160000,300000,Zurich,Switzerland,On-site,Mid-size (501-5000),Finance,fine-tuning | pytorch | vision-language models | agile | communication,9.9,90,17.9,9.5,2025,5,1,0,0,Senior ($200-300k)
AIJOB0080,AI Infrastructure Eng,Infrastructure,Senior,4,Bootcamp/Self-taught,167000.0,140000,270000,Zurich,Switzerland,Hybrid,SME (51-500),Consulting,distributed systems | kubernetes | networking | statistics,8.6,85,18.6,9.4,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB0081,AI Infrastructure Eng,Infrastructure,Mid,9,Bachelor's,196000.0,140000,270000,Chicago,USA,On-site,Mid-size (501-5000),Media,kubernetes | distributed systems | cloud | networking | problem solving | statistics | research,16.8,85,6.6,7.5,2026,2,0,0,0,Upper-Mid ($150-200k)
AIJOB0082,AI Security Engineer,Security,Entry,4,Master's,146000.0,140000,260000,Amsterdam,Netherlands,Fully Remote,Enterprise (5000+),Media,red teaming | python | cybersecurity | risk analysis | cloud,8.6,80,8.1,6.6,2025,6,0,1,0,Mid ($100-150k)
AIJOB0083,AI Infrastructure Eng,Infrastructure,Senior,8,Bachelor's,179000.0,140000,270000,London,UK,Hybrid,Mid-size (501-5000),Consulting,kubernetes | cuda | cloud | storage | distributed systems | problem solving | linux | leadership,17.0,85,13.4,9.5,2025,1,1,1,0,Upper-Mid ($150-200k)
AIJOB0084,Senior ML Engineer,AI Engineering,Senior,11,Master's,374400.0,180000,312000,New York,USA,Hybrid,Big Tech (FAANG+),Consulting,machine learning operations | llm fine-tuning | system design | agile | research | communication,12.5,96,65.3,6.6,2026,2,1,1,0,Elite (>$300k)
AIJOB0085,Deep Learning Engineer,AI Engineering,Mid,8,PhD,253000.0,141000,270000,Toronto,Canada,Hybrid,Big Tech (FAANG+),Finance,neural networks | pytorch | tensorflow | cuda | python | communication | research,4.7,89,7.4,7.1,2025,10,0,1,0,Senior ($200-300k)
AIJOB0086,Prompt Engineer,AI Engineering,Senior,2,Associate's,121000.0,90000,200000,London,UK,Fully Remote,SME (51-500),Finance,natural language processing | testing | documentation | llm api | research | sql,6.5,82,29.2,6.8,2025,1,1,1,1,Mid ($100-150k)
AIJOB0087,MLOps Engineer,ML Operations,Senior,9,PhD,312000.0,130000,260000,Remote,Global,Hybrid,Big Tech (FAANG+),Technology,ci/cd | kubernetes | docker | statistics | cloud | problem solving,13.7,93,29.2,8.1,2025,9,1,1,0,Elite (>$300k)
AIJOB0088,AI Solutions Architect,Architecture,Entry,12,Master's,180000.0,180000,320000,Tokyo,Japan,On-site,Mid-size (501-5000),Technology,machine learning | leadership | enterprise architecture | system design | python | cloud | sql,15.1,84,25.1,8.0,2025,9,0,0,0,Upper-Mid ($150-200k)
AIJOB0089,Senior Data Scientist,Data Science,Senior,9,Master's,244000.0,157000,218000,Toronto,Canada,Hybrid,Big Tech (FAANG+),Manufacturing,deep learning | leadership | machine learning | causal inference | advanced statistics | sql | statistics,9.9,90,19.6,9.0,2026,3,1,1,0,Senior ($200-300k)
AIJOB0090,AI Agent Developer,AI Engineering,Senior,6,PhD,348000.0,155000,290000,San Francisco,USA,On-site,Big Tech (FAANG+),Consulting,api | python | tool use | planning systems | problem solving | cloud | linux,13.7,96,66.1,6.7,2026,2,1,0,1,Elite (>$300k)
AIJOB0091,Senior Data Scientist,Data Science,Senior,12,Associate's,183000.0,157000,218000,Amsterdam,Netherlands,Fully Remote,SME (51-500),Manufacturing,leadership | advanced statistics | deep learning | statistics | research | cloud,6.2,90,18.3,8.1,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB0092,Multimodal AI Engineer,AI Engineering,Senior,5,Master's,360000.0,160000,300000,Berlin,Germany,Hybrid,Big Tech (FAANG+),Manufacturing,pytorch | vision-language models | api | fine-tuning | python | research | statistics | problem solving,17.3,90,23.0,7.1,2026,3,1,1,0,Elite (>$300k)
AIJOB0093,LLM Engineer,AI Engineering,Mid,7,PhD,181000.0,160000,300000,Sydney,Australia,Hybrid,Mid-size (501-5000),Media,fine-tuning | retrieval augmented generation | vector databases | research | communication | leadership,6.9,98,34.8,6.4,2026,1,0,1,1,Upper-Mid ($150-200k)
AIJOB0094,NLP Engineer,AI Engineering,Mid,9,Master's,295000.0,145000,290000,New York,USA,Hybrid,Big Tech (FAANG+),Healthcare,text processing | large language models | python | bert | hugging face | leadership,9.5,91,79.1,7.8,2025,5,0,1,0,Senior ($200-300k)
AIJOB0095,AI Product Manager,Product,Entry,9,Associate's,140000.0,140000,260000,Paris,France,Fully Remote,Startup (1-50),Research,product strategy | ai literacy | agile | data analysis | stakeholder management | research | linux,17.3,85,26.9,6.0,2026,1,0,1,0,Mid ($100-150k)
AIJOB0096,AI Product Manager,Product,Senior,7,Master's,281000.0,140000,260000,Paris,France,Fully Remote,Enterprise (5000+),Technology,ai literacy | product strategy | data analysis | agile | research | linux,15.9,85,19.2,8.9,2025,11,1,1,0,Senior ($200-300k)
AIJOB0097,LLM Engineer,AI Engineering,Senior,2,Bachelor's,283000.0,160000,300000,Amsterdam,Netherlands,On-site,Big Tech (FAANG+),Government,llm api | retrieval augmented generation | fine-tuning | python | agile,8.3,98,84.6,7.1,2026,1,1,0,1,Senior ($200-300k)
